"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"2854","Barony","Jun 23, 2015","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Turning Wheel LLC","Turning Wheel LLC"
"2855","Travellers Rest","Jul 28, 2020","$14.99","N/A (N/A)","200,000 .. 500,000","06:42 (02:14)","Isolated Games","Isolated Games, IndieArk"
"2857","Vagante","Feb 21, 2018","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Nuke Nine","Nuke Nine"
"2858","古剑奇谭(GuJian)","Jul 10, 2010","$11.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","上海烛龙信息科技有限公司, Aurogon Shanghai","北京网元圣唐娱乐科技有限公司"
"2859","Outlaws of the Old West","Mar 12, 2019","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Virtual Basement LLC","Wandering Wizard"
"2861","Savage Lands","Dec 16, 2021","$3.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Last Bastion Studios LLC","Last Bastion Studios LLC"
"2863","Swaying Girl","Nov 20, 2020","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Wet Girl","Shoot Girl"
"2865","Hood: Outlaws & Legends","May 10, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Sumo Digital","Focus Entertainment"
"2866","Regions Of Ruin","Feb 5, 2018","$11.99","N/A (N/A)","200,000 .. 500,000","00:09 (00:03)","Gameclaw Studio","Gameclaw Studio"
"2867","Angels of Death","Dec 19, 2016","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Vaka Game Magazine, Makoto Sanada","Vaka Game Magazine"
"2873","LiEat","Feb 26, 2016","$1.19","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","△○□× (Miwashiba)","PLAYISM"
"2874","Citadel: Forged with Fire","Nov 1, 2019","$39.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Blue Isle Studios","Blue Isle Publishing"
"2875","Emily is Away <3","Apr 16, 2021","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Kyle Seeley","Kyle Seeley"
"2876","Rising World","Dec 3, 2014","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","JIW-Games","JIW-Games"
"2881","FINAL FANTASY","Jul 28, 2021","$11.99","N/A (N/A)","200,000 .. 500,000","09:11 (03:03)","Square Enix","Square Enix"
"2882","蜀山：初章","Nov 17, 2022","$24.99","N/A (N/A)","200,000 .. 500,000","13:31 (13:31)","重楼工作室","成都忆墨轩科技有限公司"
"2884","CryoFall","Apr 29, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","02:20 (00:46)","AtomicTorch Studio","Daedalic Entertainment"
"2886","Dead Age","Jul 14, 2016","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Silent Dreams","Headup"
"2887","Fahrenheit: Indigo Prophecy Remastered","Jan 28, 2015","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Aspyr, Quantic Dream (original release)","Aspyr"
"2888","Chrono Ark","Dec 19, 2019","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Al Fine","Al Fine"
"2889","Trials of Mana","Apr 24, 2020","$49.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Square Enix","Square Enix"
"2890","Interstellar Marines","Jul 2, 2013","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Zero Point Software","Zero Point Software"
"2891","Epic Battle Fantasy 5","Nov 30, 2018","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Matt Roszak","Matt Roszak"
"2894","Pixel Piracy","Apr 23, 2015","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Vitali Kirpu","Commotion Games Pty Ltd"
"2896","Far Away","Aug 17, 2021","$12.99","N/A (N/A)","200,000 .. 500,000","00:28 (00:09)","Gratesca","Gratesca"
"2897","EVERSPACE 2","Jan 18, 2021","$39.99","N/A (N/A)","200,000 .. 500,000","02:19 (01:26)","ROCKFISH Games","ROCKFISH Games"
"2899","House of Detention","May 29, 2020","$0.99","N/A (N/A)","200,000 .. 500,000","00:23 (00:07)","Aniki, Male Union ♂","Dungeon Master"
"2900","Wet Girl","Jan 30, 2019","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Wet Girl","Shoot Girl"
"2901","Hentai Girl","Aug 17, 2018","$0.69","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","GirlGames","GirlGames"
"2902","The Wild Eight","Oct 3, 2019","$24.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","FNTASTIC","HypeTrain Digital"
"2903","Home Behind","Jun 2, 2016","$5.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","TPP Studio","TPP Studio"
"2905","侠客风云传(Tale of Wuxia)","Apr 28, 2016","$16.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Heluo Studio","Phoenix Game"
"2906","Azur Lane Crosswave","Feb 13, 2020","$39.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","IDEA FACTORY, COMPILE HEART, FELISTELLA","Idea Factory International"
"2907","WolfQuest: Anniversary Edition","Jul 25, 2019","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","eduweb","eduweb"
"2908","Dragonia","May 29, 2017","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Blue Studio","Paradise Project"
"2909","Little Witch in the Woods","May 16, 2022","$15.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","SUNNY SIDE UP","SUNNY SIDE UP"
"2910","DESOLATE","Jan 17, 2019","$24.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Nearga","HypeTrain Digital"
"2911","Torchlight III","Oct 13, 2020","$39.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Echtra Inc.","Perfect World Entertainment"
"2913","Ancestors: The Humankind Odyssey","Aug 27, 2020","$39.99","N/A (N/A)","200,000 .. 500,000","10:51 (03:37)","Panache Digital Games","Private Division"
"2915","ASTLIBRA Revision","Oct 13, 2022","$24.99","N/A (N/A)","200,000 .. 500,000","10:03 (12:23)","KEIZO","WhisperGames"
"2916","Symphony of War: The Nephilim Saga","Jun 10, 2022","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Dancing Dragon Games","Freedom Games"
"2918","Peglin","Apr 25, 2022","$19.99","N/A (N/A)","200,000 .. 500,000","01:00 (01:11)","Red Nexus Games Inc.","Red Nexus Games Inc., IndieArk"
"2920","Hobo: Tough Life","Apr 12, 2021","$29.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Perun Creative","Perun Creative"
"2921","Caves of Qud","Jul 15, 2015","$17.99","N/A (N/A)","200,000 .. 500,000","00:28 (00:18)","Freehold Games","Freehold Games"
"2923","Carto","Oct 27, 2020","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Sunhead Games","Humble Games, XD"
"2924","Secrets of Grindea","Jul 13, 2015","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Pixel Ferrets","Pixel Ferrets"
"2926","Gloria Victis: Medieval MMORPG","Jun 9, 2016","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Black Eye Games","Black Eye Games"
"2927","Littlewood","Aug 4, 2020","$14.99","N/A (N/A)","200,000 .. 500,000","01:25 (00:28)","Sean Young","SmashGames"
"2929","Mortal Online 2","Jan 25, 2022","$39.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Star Vault AB","Star Vault AB"
"2930","Home Behind 2","Feb 16, 2022","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","TPP Studio","TPP Studio"
"2931","Space Haven","May 21, 2020","$22.99","N/A (N/A)","200,000 .. 500,000","03:51 (05:07)","Bugbyte Ltd.","Bugbyte Ltd."
"2933","Across the Obelisk","Aug 16, 2022","$19.99","N/A (N/A)","200,000 .. 500,000","01:47 (00:35)","Dreamsite Games","Paradox Arc"
"2938","Sword Art Online: Hollow Realization Deluxe Edition","Oct 27, 2017","$49.99","N/A (N/A)","200,000 .. 500,000","00:32 (00:10)","AQURIA","BANDAI NAMCO Entertainment"
"2939","Xuan-Yuan Sword VII","Oct 28, 2020","$34.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","SOFTSTAR, DOMO Studio","SOFTSTAR, Yooreka Studio"
"2940","Otaku's Adventure","May 20, 2019","$6.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Spacelight Studio","Spacelight Studio"
"2942","Banner of the Maid","May 27, 2019","$16.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Azure Flame Studio","CE-Asia"
"2944","DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition","Dec 4, 2020","$39.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Square Enix","Square Enix"
"2945","Yokai's Secret","Feb 6, 2020","$1.99","N/A (N/A)","200,000 .. 500,000","00:01 (00:00)","Double W","Toffee Cafe"
"2948","CHRONO TRIGGER","Feb 27, 2018","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Square Enix","Square Enix"
"2949","Lost","Sep 30, 2019","$1.99","N/A (N/A)","200,000 .. 500,000","00:01 (00:00)","DSGame","DSGame"
"2952","Naval Action","Jun 13, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Game-Labs","Game-Labs"
"2953","The Vagrant","Jul 13, 2018","$0.79","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","O.T.K Games","SakuraGame"
"2954","Soulstone Survivors","Nov 7, 2022","$9.99","N/A (N/A)","200,000 .. 500,000","16:58 (20:28)","Game Smithing Limited","Game Smithing Limited"
"2955","King Exit","Oct 19, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:08 (00:02)","深爪貴族","Paradise Project"
"2960","Death Road to Canada","Jul 21, 2016","$14.99","N/A (N/A)","200,000 .. 500,000","00:01 (00:00)","Rocketcat Games, Madgarden","Rocketcat Games"
"2961","TROUBLESHOOTER: Abandoned Children","Apr 23, 2020","$24.99","N/A (N/A)","200,000 .. 500,000","00:03 (00:01)","Dandylion","Dandylion"
"2963","河洛群俠傳 (Ho Tu Lo Shu ： The Books of Dragon)","Nov 14, 2018","$17.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","香港商河洛互動娛樂股份有限公司","香港商河洛互動娛樂股份有限公司, 方块游戏"
"2964","Digimon Story Cyber Sleuth: Complete Edition","Oct 17, 2019","$49.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","h.a.n.d., Inc.","BANDAI NAMCO Entertainment Inc."
"2968","Pathologic 2","May 23, 2019","$34.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Ice-Pick Lodge","tinyBuild"
"2970","UnderMine","Aug 6, 2020","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Thorium","Thorium"
"2972","Material Girl","Jun 20, 2017","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Dieselmine","Paradise Project"
"2974","PixARK","May 31, 2019","$39.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Snail Games USA","Snail Games USA"
"2978","Wartales","Dec 1, 2021","$34.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Shiro Games","Shiro Unlimited"
"2979","Gotham Knights","Oct 21, 2022","$59.99","N/A (N/A)","200,000 .. 500,000","15:13 (25:24)","Warner Bros. Games Montréal, QLOC","Warner Bros. Games"
"2985","Reign Of Kings","Dec 15, 2015","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Code}{atch","Code}{atch"
"2986","Fear Surrounds","Oct 19, 2021","$7.99","N/A (N/A)","200,000 .. 500,000","08:10 (02:43)","SaltyEgg Studio","Yooreka Studio"
"2987","Summer Memories","Jun 14, 2020","$13.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Dojin Otome","Kagura Games"
"2988","FINAL FANTASY VII REMAKE INTERGRADE","Jun 17, 2022","$69.99","N/A (N/A)","200,000 .. 500,000","13:36 (08:43)","Square Enix","Square Enix"
"2989","LoveChoice","Nov 15, 2021","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Akaba Studio","Akaba Studio"
"2990","My Time at Sandrock","May 25, 2022","$24.99","N/A (N/A)","200,000 .. 500,000","20:57 (06:59)","Pathea Games","Pathea Games, PM Studios, Inc., DMM GAMES"
"2996","Cyber Manhunt","Feb 2, 2021","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Aluba Studio","Aluba Studio"
"2997","Fate Seeker II","Nov 22, 2021","$22.6","N/A (N/A)","200,000 .. 500,000","04:04 (02:42)","甲山林娛樂股份有限公司","甲山林娛樂股份有限公司"
"2998","Touhou Mystia's Izakaya","Oct 1, 2021","$5.99","N/A (N/A)","200,000 .. 500,000","06:13 (03:59)","二色幽紫蝶, Re零同人社","二色幽紫蝶, Re零同人社"
"3007","Dinkum","Jul 14, 2022","$19.99","N/A (N/A)","200,000 .. 500,000","19:49 (08:43)","James Bendon","James Bendon"
"4088","Spirit of Adventure","Feb 12, 1991","$8.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Attic Entertainment Software","Unique Games"
"4317","Shadoworlds","Jan 1, 1992","$6.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Krisalis Software, Teque London","Ziggurat"
"4352","Witches of the Fourth Multiplayer","Mar 5, 2022","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Flgaming, Fareed","Fareed Flgaming"
"4669","S E V E R A N C E","Apr 16, 2022","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Polybit_Game","Polybit_Game"
"5496","Daemonsgate","Dec 1, 1993","$6.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Imagitec","Ziggurat"
"5592","Invictus: In the Shadow of Olympus","Jan 31, 2000","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Quicksilver Software","Interplay"
"5990","Miasma: Citizens of Free Thought","Nov 3, 2021","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","ESP Games","David Addis"
"6020","村庄-The Village","Mar 24, 2021","$8.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","橙光游戏","橙光游戏"
"6412","Valkyrie: Journey To Midgard","Aug 28, 2021","$0.37","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Succubella Games","Angel And Demons"
"7042","PARTY RUSH!!","Mar 23, 2022","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","SECHAN","CREST"
"7050","道不可道","Mar 12, 2022","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","乐子人","乐子人"
"7946","Dungeon of Rikka","Dec 7, 2020","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Poorly Drawn Squid","Poorly Drawn Squid"
"8270","HEXCRAFT: Harlequin Fair","Oct 22, 2021","$12.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Oleander Garden","Hex Code Coven"
"8589","PARKAN: THE IMPERIAL CHRONICLES","Sep 1, 1997","$2.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","GameXP.com","GameXP.com"
"8879","Lord of the Dark Castle","Apr 20, 2015","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Craze Creative Studios","Trinity Project"
"8887","Star Shift Origins","Nov 8, 2021","$6.39","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Psychronic Game Studios","G-DEVS.com, Psychronic Games"
"8968","Army of Tentacles: (Not) A Cthulhu Dating Sim","Feb 15, 2016","$2.39","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Stegalosaurus Game Development","Stegalosaurus Game Development"
"9272","Alchemyland","Aug 2, 2017","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","azimuth team","azimuth team"
"9338","Final Quest II","Oct 18, 2016","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","RPG Video","Back To Basics Gaming"
"9407","Final Quest","Aug 17, 2016","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","RPG Video","Back To Basics Gaming"
"9675","Dark Shadows - Army of Evil","Mar 11, 2014","$0.49","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Burian Media Enterprises","Volens Nolens Games"
"9809","Daily Chthonicle: Editor's Edition","Sep 30, 2016","$0.79","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Sinister Systems","Sometimes You"
"9880","Wanda - A Beautiful Apocalypse","Jun 3, 2016","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Kodots Games","Kodots Games"
"9953","Drayt Empire","Jul 16, 2016","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","RPG Video","Back To Basics Gaming"
"10110","SpellForce 2 - Demons of the Past","Jan 16, 2014","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","THQ Nordic, Mind Over Matter Studios","THQ Nordic"
"10210","Zoop! - Hunter's Grimm","Mar 3, 2017","$0.31","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Warfare Studios","Senpai Studios"
"10295","DarkEnd","Oct 17, 2014","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Kodots Games","Kodots Games"
"10455","THE IMPOSSIBLE","Jul 24, 2020","$0.49","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","IMPOSSIBLE INC, Airem","Airem"
"10489","Dear RED - Extended","Apr 12, 2016","$0.59","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Lee Sang","Sometimes You"
"10495","99 Spirits","May 31, 2013","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","TORaIKI","Fruitbat Factory"
"10508","City of Chains","Dec 8, 2015","$8.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Astronomic Games","New Reality Games"
"10609","Victim of Xen","May 21, 2014","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Barnes","Barnes"
"10632","Penny Arcade's On the Rain-Slick Precipice of Darkness 4","Jun 7, 2013","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Zeboyd Games","Penny Arcade, Inc."
"10659","Vendetta - Curse of Raven's Cry","Nov 20, 2015","$29.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Reality Pump Studios","TopWare Interactive, ACE"
"10678","Millennium - A New Hope","Apr 25, 2014","$0.59","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Aldorlea Games","Aldorlea Games"
"10750","Wasteland 1 - The Original Classic","May 1, 1988","$5.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","inXile Entertainment","inXile Entertainment"
"10823","R.A.W. Realms of Ancient War","Oct 11, 2012","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Wizarbox","Focus Entertainment"
"10846","Alien Shooter: Revisited","Apr 15, 2009","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Sigma Team Inc.","Sigma Team Inc."
"10861","King Arthur - The Role-playing Wargame","Nov 24, 2009","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","NeocoreGames","Paradox Interactive"
"10889","Unforgiving Trials: The Darkest Crusade","Jun 15, 2016","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Amaterasu Software","Amaterasu Software"
"10906","Shattered Planet","Jul 3, 2014","$1.49","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Kitfox Games","Kitfox Games"
"10923","Precipice of Darkness, Episode One","May 21, 2008","$7.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Hothead Games","Hothead Games"
"10926","QuestRun","Apr 18, 2014","$2.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Cuve Games","Digerati"
"44","Unavowed","Aug 8, 2018","$14.99","N/A (N/A/87%)","100,000 .. 200,000","00:00 (00:00)","Wadjet Eye Games","Wadjet Eye Games"
"56","Age of Wonders II: The Wizard's Throne","Oct 2010","$9.99","N/A (N/A/86%)","100,000 .. 200,000","00:00 (00:00)","Triumph Studios","Paradox Interactive"
"73","Wizardry 8","Nov 15, 2001","$9.99","N/A (N/A/85%)","100,000 .. 200,000","00:00 (00:00)","Sir-Tech Canada","Drecom Co. Ltd., Nightdive Studios"
"98","Atelier Ryza 2: Lost Legends & the Secret Fairy","Jan 25, 2021","$59.99","N/A (N/A/84%)","100,000 .. 200,000","05:06 (02:33)","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"100","Rakuen","May 10, 2017","$8.49","N/A (N/A/84%)","100,000 .. 200,000","00:00 (00:00)","Laura Shigihara","Laura Shigihara"
"116","Demeo","May 6, 2021","$29.99","N/A (N/A/83%)","100,000 .. 200,000","00:00 (00:00)","Resolution Games","Resolution Games"
"117","The Legend of Heroes: Trails in the Sky the 3rd","May 3, 2017","$29.99","N/A (N/A/83%)","100,000 .. 200,000","00:00 (00:00)","Nihon Falcom","XSEED Games, Marvelous USA, Inc."
"140","Dragon Age: Origins Awakening","Mar 16, 2010","$9.99","N/A (N/A/82%)","100,000 .. 200,000","00:00 (00:00)","BioWare","Electronic Arts"
"141","Avadon 2: The Corruption","Oct 30, 2013","$9.99","N/A (N/A/82%)","100,000 .. 200,000","00:00 (00:00)","Spiderweb Software","Spiderweb Software"
"146","Age of Wonders Shadow Magic","Oct 2010","$9.99","N/A (N/A/82%)","100,000 .. 200,000","00:00 (00:00)","Triumph Studios","Paradox Interactive"
"148","Desktop Dungeons","Nov 7, 2013","$14.99","N/A (N/A/82%)","100,000 .. 200,000","00:00 (00:00)","QCF Design","QCF Design"
"149","The Banner Saga 3","Jul 26, 2018","$24.99","N/A (N/A/82%)","100,000 .. 200,000","00:00 (00:00)","Stoic","Stoic Studio"
"152","The Banner Saga 2","Apr 19, 2016","$24.99","N/A (N/A/82%)","100,000 .. 200,000","00:00 (00:00)","Stoic","Stoic Studio"
"154","The Life and Suffering of Sir Brante","Mar 4, 2021","$19.99","N/A (N/A/82%)","100,000 .. 200,000","00:00 (00:00)","Sever","101XP"
"157","Tainted Grail: Conquest","May 27, 2021","$19.99","N/A (N/A/82%)","100,000 .. 200,000","00:00 (00:00)","Awaken Realms Digital","Awaken Realms"
"173","Disgaea 2 PC","Jan 30, 2017","$19.99","N/A (N/A/81%)","100,000 .. 200,000","00:00 (00:00)","Nippon Ichi Software, Inc.","NIS America, Inc."
"174","Stygian: Reign of the Old Ones","Sep 26, 2019","$19.99","N/A (N/A/81%)","100,000 .. 200,000","00:00 (00:00)","Cultic Games","Fulqrum Publishing"
"175","Ashen","Dec 9, 2019","$39.99","N/A (N/A/81%)","100,000 .. 200,000","00:00 (00:00)","A44","Annapurna Interactive"
